filename, language, JSON, JavaScript, Markdown, XML, Log, comment, blank, total
/home/mordoss/moja-njiva/.expo-shared/assets.json, JSON, 7, 0, 0, 0, 0, 0, 0, 7
/home/mordoss/moja-njiva/.watchmanconfig, JSON, 1, 0, 0, 0, 0, 0, 1, 2
/home/mordoss/moja-njiva/AllFields/FieldCard.js, JavaScript, 0, 32, 0, 0, 0, 0, 4, 36
/home/mordoss/moja-njiva/AllFields/FieldsConnected.js, JavaScript, 0, 35, 0, 0, 0, 0, 5, 40
/home/mordoss/moja-njiva/AllFields/HeaderIcon.js, JavaScript, 0, 23, 0, 0, 0, 0, 3, 26
/home/mordoss/moja-njiva/App.js, JavaScript, 0, 15, 0, 0, 0, 0, 3, 18
/home/mordoss/moja-njiva/README.md, Markdown, 0, 0, 1, 0, 0, 0, 1, 2
/home/mordoss/moja-njiva/app.json, JSON, 19, 0, 0, 0, 0, 6, 0, 25
/home/mordoss/moja-njiva/assets/icons/calendar.svg, XML, 0, 0, 0, 89, 0, 0, 1, 90
/home/mordoss/moja-njiva/assets/icons/corn.svg, XML, 0, 0, 0, 114, 0, 0, 1, 115
/home/mordoss/moja-njiva/assets/icons/settings.svg, XML, 0, 0, 0, 69, 0, 0, 1, 70
/home/mordoss/moja-njiva/assets/icons/soya.svg, XML, 0, 0, 0, 107, 0, 1, 1, 109
/home/mordoss/moja-njiva/assets/icons/sunflower.svg, XML, 0, 0, 0, 97, 0, 0, 1, 98
/home/mordoss/moja-njiva/assets/icons/wheat.svg, XML, 0, 0, 0, 89, 0, 0, 1, 90
/home/mordoss/moja-njiva/assets/plants.js, JavaScript, 0, 37, 0, 0, 0, 1, 2, 40
/home/mordoss/moja-njiva/babel.config.js, JavaScript, 0, 6, 0, 0, 0, 0, 1, 7
/home/mordoss/moja-njiva/calcFunctions.js, JavaScript, 0, 36, 0, 0, 0, 0, 12, 48
/home/mordoss/moja-njiva/components/Badge.js, JavaScript, 0, 29, 0, 0, 0, 0, 6, 35
/home/mordoss/moja-njiva/components/Block.js, JavaScript, 0, 91, 0, 0, 0, 1, 8, 100
/home/mordoss/moja-njiva/components/Input.js, JavaScript, 0, 41, 0, 0, 0, 0, 5, 46
/home/mordoss/moja-njiva/components/InputWithIncrementer.js, JavaScript, 0, 74, 0, 0, 0, 0, 9, 83
/home/mordoss/moja-njiva/components/Picker.js, JavaScript, 0, 70, 0, 0, 0, 0, 7, 77
/home/mordoss/moja-njiva/components/SubCount.js, JavaScript, 0, 13, 0, 0, 0, 0, 3, 16
/home/mordoss/moja-njiva/components/Switch.js, JavaScript, 0, 25, 0, 0, 0, 0, 5, 30
/home/mordoss/moja-njiva/components/Tabs.js, JavaScript, 0, 54, 0, 0, 0, 0, 5, 59
/home/mordoss/moja-njiva/components/Text.js, JavaScript, 0, 116, 0, 0, 0, 9, 7, 132
/home/mordoss/moja-njiva/components/index.js, JavaScript, 0, 10, 0, 0, 0, 0, 2, 12
/home/mordoss/moja-njiva/fieldSettings/basic/Area.js, JavaScript, 0, 26, 0, 0, 0, 0, 5, 31
/home/mordoss/moja-njiva/fieldSettings/basic/BasicContainer.js, JavaScript, 0, 18, 0, 0, 0, 0, 3, 21
/home/mordoss/moja-njiva/fieldSettings/basic/Note.js, JavaScript, 0, 42, 0, 0, 0, 0, 5, 47
/home/mordoss/moja-njiva/fieldSettings/basic/PlantCard.js, JavaScript, 0, 47, 0, 0, 0, 0, 5, 52
/home/mordoss/moja-njiva/fieldSettings/basic/PlantsConnected.js, JavaScript, 0, 28, 0, 0, 0, 0, 6, 34
/home/mordoss/moja-njiva/fieldSettings/basic/Rented.js, JavaScript, 0, 32, 0, 0, 0, 0, 3, 35
/home/mordoss/moja-njiva/fieldSettings/statistics/DoneAndPlaningCard.js, JavaScript, 0, 32, 0, 0, 0, 0, 4, 36
/home/mordoss/moja-njiva/fieldSettings/statistics/Statistics.js, JavaScript, 0, 60, 0, 0, 0, 0, 4, 64
/home/mordoss/moja-njiva/fieldSettings/statistics/StatisticsPresentational.js, JavaScript, 0, 13, 0, 0, 0, 0, 3, 16
/home/mordoss/moja-njiva/fieldSettings/works/CommonWorkPart.js, JavaScript, 0, 43, 0, 0, 0, 0, 9, 52
/home/mordoss/moja-njiva/fieldSettings/works/DatePicker.js, JavaScript, 0, 44, 0, 0, 0, 0, 5, 49
/home/mordoss/moja-njiva/fieldSettings/works/DayPicker.js, JavaScript, 0, 77, 0, 0, 0, 0, 8, 85
/home/mordoss/moja-njiva/fieldSettings/works/DoneAndPlaningSegment.js, JavaScript, 0, 20, 0, 0, 0, 0, 3, 23
/home/mordoss/moja-njiva/fieldSettings/works/Fertilization.js, JavaScript, 0, 29, 0, 0, 0, 0, 5, 34
/home/mordoss/moja-njiva/fieldSettings/works/FertilizationSegment.js, JavaScript, 0, 38, 0, 0, 0, 0, 3, 41
/home/mordoss/moja-njiva/fieldSettings/works/MidRowCultivation.js, JavaScript, 0, 25, 0, 0, 0, 0, 5, 30
/home/mordoss/moja-njiva/fieldSettings/works/MonthPicker.js, JavaScript, 0, 34, 0, 0, 0, 0, 5, 39
/home/mordoss/moja-njiva/fieldSettings/works/PaidAndConsumptionSegment.js, JavaScript, 0, 43, 0, 0, 0, 0, 4, 47
/home/mordoss/moja-njiva/fieldSettings/works/Sowing.js, JavaScript, 0, 33, 0, 0, 0, 0, 4, 37
/home/mordoss/moja-njiva/fieldSettings/works/Spraying.js, JavaScript, 0, 29, 0, 0, 0, 0, 4, 33
/home/mordoss/moja-njiva/fieldSettings/works/SprayingSegment.js, JavaScript, 0, 22, 0, 0, 0, 0, 3, 25
/home/mordoss/moja-njiva/fieldSettings/works/SubTotal.js, JavaScript, 0, 75, 0, 0, 0, 0, 7, 82
/home/mordoss/moja-njiva/fieldSettings/works/SubTotalPresentational.js, JavaScript, 0, 51, 0, 0, 0, 0, 6, 57
/home/mordoss/moja-njiva/fieldSettings/works/WorkCard.js, JavaScript, 0, 44, 0, 0, 0, 0, 5, 49
/home/mordoss/moja-njiva/fieldSettings/works/WorksConnected.js, JavaScript, 0, 99, 0, 0, 0, 0, 5, 104
